year,state,cause name,death
2016,Alabama,Unintentional injuries,2755
2016,Alaska,Unintentional injuries,439
2016,Arizona,Unintentional injuries,4010
2016,Arkansas,Unintentional injuries,1604
2016,California,Unintentional injuries,13213
2016,Colorado,Unintentional injuries,2880
2016,Connecticut,Unintentional injuries,1978
2016,Delaware,Unintentional injuries,516
2016,District of Columbia,Unintentional injuries,401
2016,Florida,Unintentional injuries,12561
2016,Georgia,Unintentional injuries,4701
2016,Hawaii,Unintentional injuries,577
2016,Idaho,Unintentional injuries,849
2016,Illinois,Unintentional injuries,5508
2016,Indiana,Unintentional injuries,3496
2016,Iowa,Unintentional injuries,1608
2016,Kansas,Unintentional injuries,1444
2016,Kentucky,Unintentional injuries,3194
2016,Louisiana,Unintentional injuries,2710
2016,Maine,Unintentional injuries,909
2016,Maryland,Unintentional injuries,2271
2016,Massachusetts,Unintentional injuries,3831
2016,Michigan,Unintentional injuries,5313
2016,Minnesota,Unintentional injuries,2697
2016,Mississippi,Unintentional injuries,1803
2016,Missouri,Unintentional injuries,3625
2016,Montana,Unintentional injuries,626
2016,Nebraska,Unintentional injuries,772
2016,Nevada,Unintentional injuries,1395
2016,New Hampshire,Unintentional injuries,924
2016,New Jersey,Unintentional injuries,3839
2016,New Mexico,Unintentional injuries,1487
2016,New York,Unintentional injuries,7354
2016,North Carolina,Unintentional injuries,5476
2016,North Dakota,Unintentional injuries,371
2016,Ohio,Unintentional injuries,7999
2006,Alaska,others,876
2016,Oklahoma,Unintentional injuries,2592
2016,Oregon,Unintentional injuries,2105
2016,Pennsylvania,Unintentional injuries,8410
2016,Rhode Island,Unintentional injuries,675
2016,South Carolina,Unintentional injuries,3012
2016,South Dakota,Unintentional injuries,505
2016,Tennessee,Unintentional injuries,4238
2016,Texas,Unintentional injuries,10536
2016,Utah,Unintentional injuries,1211
2016,Vermont,Unintentional injuries,372
2016,Virginia,Unintentional injuries,3710
2016,Washington,Unintentional injuries,3221
2016,West Virginia,Unintentional injuries,1705
2016,Wisconsin,Unintentional injuries,3575
2016,Wyoming,Unintentional injuries,371
2016,Alabama,others,13690
2015,Alabama,others,13382
2014,Alabama,others,13369
2013,Alabama,others,13853
2012,Alabama,others,13672
2011,Alabama,others,12948
2010,Alabama,others,12250
2009,Alabama,others,11779
2008,Alabama,others,11819
2007,Alabama,others,11555
2006,Alabama,others,11388
2005,Alabama,others,11067
2004,Alabama,others,10423
2003,Alabama,others,10691
2002,Alabama,others,9978
2001,Alabama,others,9857
2000,Alabama,others,9640
1999,Alabama,others,9366
2016,Alaska,others,1253
2015,Alaska,others,1216
2014,Alaska,others,1185
2013,Alaska,others,1066
2012,Alaska,others,1061
2011,Alaska,others,995
2010,Alaska,others,973
2009,Alaska,others,919
2008,Alaska,others,865
2007,Alaska,others,918
2005,Alaska,others,793
2004,Alaska,others,736
2003,Alaska,others,796
2002,Alaska,others,751
2001,Alaska,others,746
2000,Alaska,others,612
1999,Alaska,others,634
2016,Arizona,others,14696
2015,Arizona,others,13790
2014,Arizona,others,13556
2013,Arizona,others,13094
2012,Arizona,others,13212
2011,Arizona,others,12286
2010,Arizona,others,11934
2009,Arizona,others,11598
2008,Arizona,others,11500
2007,Arizona,others,11405
2006,Arizona,others,11480
2005,Arizona,others,10817
2004,Arizona,others,9913
2003,Arizona,others,9648
2002,Arizona,others,9427
2001,Arizona,others,9163
2000,Arizona,others,8684
1999,Arizona,others,8254
2016,Arkansas,others,7343
2015,Arkansas,others,7164
2014,Arkansas,others,7289
2013,Arkansas,others,7447
2012,Arkansas,others,7418
2011,Arkansas,others,6915
2010,Arkansas,others,6556
2009,Arkansas,others,6285
2008,Arkansas,others,6469
2007,Arkansas,others,6205
2006,Arkansas,others,6110
2005,Arkansas,others,5964
2004,Arkansas,others,5766
2003,Arkansas,others,5845
2002,Arkansas,others,5819
2001,Arkansas,others,5657
2000,Arkansas,others,6131
1999,Arkansas,others,5913
2016,California,others,59940
2015,California,others,59236
2014,California,others,56817
2013,California,others,58148
2012,California,others,56082
2011,California,others,53992
2010,California,others,51010
2009,California,others,50103
2008,California,others,50474
2007,California,others,49423
2006,California,others,50002
2005,California,others,48843
2004,California,others,46644
2003,California,others,46983
2002,California,others,45460
2001,California,others,48417
2000,California,others,44762
1999,California,others,43227
2016,Colorado,others,9978
2015,Colorado,others,9869
2014,Colorado,others,9819
2013,Colorado,others,9425
2012,Colorado,others,9174
2011,Colorado,others,9170
2010,Colorado,others,8584
2009,Colorado,others,8237
2008,Colorado,others,8428
2007,Colorado,others,7946
2006,Colorado,others,7915
2005,Colorado,others,7712
2004,Colorado,others,7239
2003,Colorado,others,7486
2002,Colorado,others,7317
2001,Colorado,others,7193
2000,Colorado,others,6862
1999,Colorado,others,6496
2016,Connecticut,others,8851
2015,Connecticut,others,8854
2014,Connecticut,others,8710
2013,Connecticut,others,8658
2012,Connecticut,others,8333
2011,Connecticut,others,8241
2010,Connecticut,others,7634
2009,Connecticut,others,7461
2008,Connecticut,others,7224
2007,Connecticut,others,7353
2006,Connecticut,others,7250
2005,Connecticut,others,7213
2004,Connecticut,others,6726
2003,Connecticut,others,6746
2002,Connecticut,others,6701
2001,Connecticut,others,6553
2000,Connecticut,others,6425
1999,Connecticut,others,6107
2016,Delaware,others,2219
2015,Delaware,others,2243
2014,Delaware,others,2176
2013,Delaware,others,2038
2012,Delaware,others,2113
2011,Delaware,others,2100
2010,Delaware,others,2003
2009,Delaware,others,1965
2008,Delaware,others,1890
2007,Delaware,others,1699
2006,Delaware,others,1740
2005,Delaware,others,1768
2004,Delaware,others,1581
2003,Delaware,others,1554
2002,Delaware,others,1573
2001,Delaware,others,1564
2000,Delaware,others,1497
1999,Delaware,others,1332
2016,District of Columbia,others,1391
2015,District of Columbia,others,1434
2014,District of Columbia,others,1303
2013,District of Columbia,others,1318
2012,District of Columbia,others,1300
2011,District of Columbia,others,1338
2010,District of Columbia,others,1306
2009,District of Columbia,others,1553
2008,District of Columbia,others,1600
2007,District of Columbia,others,1566
2006,District of Columbia,others,1554
2005,District of Columbia,others,1741
2004,District of Columbia,others,1610
2003,District of Columbia,others,1716
2002,District of Columbia,others,1795
2001,District of Columbia,others,1712
2000,District of Columbia,others,1765
1999,District of Columbia,others,1949
2016,Florida,others,48971
2015,Florida,others,47035
2014,Florida,others,47778
2013,Florida,others,47857
2012,Florida,others,47401
2011,Florida,others,45840
2010,Florida,others,44743
2009,Florida,others,42559
2008,Florida,others,42206
2007,Florida,others,40993
2006,Florida,others,41217
2005,Florida,others,38843
2004,Florida,others,38292
2003,Florida,others,37571
2002,Florida,others,36248
2001,Florida,others,35136
2000,Florida,others,34379
1999,Florida,others,33041
2016,Georgia,others,21291
2015,Georgia,others,21353
2014,Georgia,others,21406
2013,Georgia,others,21923
2012,Georgia,others,21325
2011,Georgia,others,20163
2010,Georgia,others,20100
2009,Georgia,others,19177
2008,Georgia,others,20601
2007,Georgia,others,18328
2006,Georgia,others,18170
2005,Georgia,others,17043
2004,Georgia,others,16782
2003,Georgia,others,16698
2002,Georgia,others,16052
2001,Georgia,others,15678
2000,Georgia,others,15381
1999,Georgia,others,14410
2016,Hawaii,others,2804
2015,Hawaii,others,2738
2014,Hawaii,others,2838
2013,Hawaii,others,2904
2012,Hawaii,others,2847
2011,Hawaii,others,2709
2010,Hawaii,others,2614
2009,Hawaii,others,2645
2008,Hawaii,others,2549
